,Title,Album,Artist,Duration (ms),Rating,Play Count,Removed
0,440 Volt,Sultan,Mika Singh,268000,0,2,
0,5 Taara,Do Gabru - Diljit Dosanjh &amp; Akhil,Diljit Dosanjh,178000,5,13,
0,9 Parts Of Desire,Bluff Master (Original Motion Picture Soundtrack),Trickbaby,228000,1,0,
0,A Day In The Life (Remastered),Sgt. Pepper&#39;s Lonely Hearts Club Band (Remastered),The Beatles,337000,0,1,
0,A Hard Day&#39;s Night (Remastered),A Hard Day&#39;s Night (Remastered),The Beatles,154000,0,2,
0,A Kind Of Magic,Greatest Hits 1 &amp; 2,Queen,262000,0,0,
0,Aa Bhi Jaa (Kaalakaandi),Kaalakaandi,"Vishal Dadlani, Abhishek Nailwal",237000,0,0,
0,Aa Bhi Jaa Sanam (From &quot;Prince&quot;),Iconic Legend of Bollywood: Legendary Hits of Atif Aslam,Atif Aslam,190000,0,4,
0,Aa Jao Na (Veere Di Wedding),Veere Di Wedding,"Arijit Singh, Shashwat Sachdev",299000,0,2,
0,Aa Raha Hoon Palat Ke,Don 2,Shahrukh Khan,35000,0,0,
0,Aa Re Aa Re (Remix By Mikey Mccleary),Besharam,Shreya Ghoshal,285000,1,1,
0,Aa Re Aa Re,Besharam,Shreya Ghoshal,266000,0,3,
0,Aa Zara (Reloaded)[Remix By Kiran Kamath],Murder 2,Sunidhi Chauhan,312000,1,0,
0,Aa Zara,Murder 2,Sunidhi Chauhan,297000,0,0,
0,Aabroo,Gangs Of Wasseypur - 2,Bhupesh Singh,274000,0,4,
0,Aadat (Remix),Kalyug (Original Motion Picture Soundtrack),Atif Aslam,244000,1,0,
0,Aadat,Kalyug (Original Motion Picture Soundtrack),Atif Aslam,333000,5,14,
0,Aadha Ishq,Band Baaja Baaraat,"Shreya Ghoshal ,(Additional Vocals By Natalie Diluccio)",283000,0,0,
0,Aafaton Ke Parinde,Ishaqzaade (Original Motion Picture Soundtrack),Amit Trivedi,203000,0,4,
0,Aahatein (Remix By Abhijit Vaghani),Ek Main Aur Ekk Tu,Shilpa Rao,216000,1,1,
0,Aahatein (Unplugged),Ek Main Aur Ekk Tu,Karthik,254000,1,1,
0,Aahatein,Ek Main Aur Ekk Tu,Karthik,267000,0,4,
0,Aahista (Laila Majnu),Laila Majnu,"Arijit Singh, Jonita Gandhi",320000,0,1,
0,Aahista Aahista,Swades,Sadhana Sargam,408000,0,1,
0,Aahista Aahista,Bachna Ae Haseeno,Lucky Ali,291000,0,2,Yes
0,Aai Paapi (From &quot;Kismat Konnection&quot;),Kismat Konnection,Pritam,256000,0,3,
0,Aai Paapi (Remix),Kismat Konnection,Pritam,220000,1,1,
0,Aaj Ibaadat,Bajirao Mastani,Javed Bashir,284604,5,5,
0,Aaj Jane Ki Zid Na Karo,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Shilpa Rao,171000,0,2,
0,Aaj Ke Naam,Haider (Original Motion Picture Soundtrack),Rekha Bhardwaj,254000,0,2,
0,Aaj Ki Party,Bajrangi Bhaijaan,Mika Singh,280000,0,1,
0,Aaj Rasta Ma Baris (Dialogues),Murder (Original Motion Picture Soundtrack),Mallika Sherawat,46000,1,0,
0,Aaj Se Teri (Padman),Padman,Arijit Singh,312000,5,16,
0,Aaj Tune Dharambeer Malhotra (Dialogues),Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack),Shah Rukh Khan,199000,1,0,
0,Aaj Unse Kehna Hai,Prem Ratan Dhan Payo,Palak Muchhal,128000,0,0,
0,Aaj Unse Milna Hai,Prem Ratan Dhan Payo,Shaan,243000,0,1,
0,Aal Izz Well (Remix),3 Idiots,Sonu Nigam,281000,1,1,
0,Aal Izz Well,3 Idiots,Sonu Nigam,274000,0,2,
0,Aala Re Aala (Remix by Gourav Das Gupta &amp; Roshan Balu),Shootout At Wadala,Anu Malik,300000,1,2,
0,Aala Re Aala,Shootout At Wadala,Anu Malik,300000,0,1,
0,Aam Hindustani,Bombay Velvet,Shefali Alvares,531826,5,20,
0,Aane Char Aane (Remix),Lage Raho Munna Bhai,Karunya,238000,0,1,
0,Aane Char Aane,Lage Raho Munna Bhai,Karunya,271000,0,1,
0,Aankh Micholi,Dev D,Amit Trivedi,238000,5,35,
0,Aankhon Mein Sapna,Iqbal,Ravindra Upadhyay,246000,0,1,
0,Aao Balma,Coke Studio India Season 3: Episode 1,A.R. Rahman,449000,0,1,
0,Aao Kabhi Haveli Pe,Stree,Sachin-Jigar,172000,0,0,
0,Aao Milo Chalo,Jab We Met,Ustad Sultan Khan,325000,0,0,
0,Aao Na (From &quot;Haider&quot;),Aao Na (From &quot;Haider&quot;),Vishal Dadlani,255000,0,15,Yes
0,Aao Na,Haider (Original Motion Picture Soundtrack),Vishal Dadlani,255000,5,9,
0,Aaoge Jab Tum,Jab We Met,Ustad Rashid Khan,355000,0,0,
0,Aap Se Milkar (Andhadhun),Andhadhun,"Abhijeet Srivastava, Aakanksha Sharma",236000,5,15,
0,Aap Se Milkar - Reprise (Andhadhun),Andhadhun,Ayushmann Khurrana,146000,0,2,
0,Aarambh,Gulaal,Piyush Mishra,295000,5,18,
0,Aarti (Tumre Bhavan Mein),Delhi-6,Kishori Gowariker,179000,0,1,
0,Aas Paas Khuda (Unplugged),Anjaana Anjaani,Rahat Fateh Ali Khan,204000,0,6,
0,Aas Paas Khuda,Anjaana Anjaani,Rahat Fateh Ali Khan,319000,0,8,
0,Aasan Nahin Yahan,Aashiqui 2,Arijit Singh,214000,0,1,
0,Aashayein(Slow),Iqbal,Â KK,260000,0,4,
0,Aashayein,Iqbal,Â KK,72000,0,2,
0,Aashiq Surrender Hua,Badrinath Ki Dulhania,Amaal Mallik,250000,0,5,
0,Aashiqui (The Love Theme),Aashiqui 2,Mithoon,162000,0,1,
0,Aashiyan,Barfi! (Original Motion Picture Soundtrack),Pritam,236000,5,9,
0,Aashiyana (Love Per Square Foot),Love Per Square Foot,"Altamas Faridi, Tarannum Malik",270000,0,0,
0,Aatach Baya Ka Baavarla,Sairat,Shreya Ghoshal,334000,0,7,
0,Aave Re Hitchki,Mirzya - Dare To Love,Mame Khan,344000,0,0,
0,Aayat,Bajirao Mastani,Arijit Singh,262138,5,7,
0,Aazaadiyan (Pairon Ki Bediyan),Udaan,Amit Trivedi,337000,5,15,
0,Aazmale Aazmale,Taxi No. 9211 (Original Motion Picture Soundtrack),Shekhar Ravjiani,294000,0,0,
0,Ab Kya Bataun (Manto),Manto," Shubha Joshi, Daniel B.George",275000,0,1,
0,Ab Mujhe Koi,Ishqiya,Rekha Bhardwaj,340000,0,2,
0,Ab Tohe Jane Na Dungi,Bajirao Mastani,"Payal Dev, Shreyas Puranik",233456,0,4,
0,Abhi Mujh Mein Kahin,Agneepath,Ajay-Atul,364000,5,14,
0,Abhi Toh Party Shuru Hui Hai,Khoobsurat,Badshah,179000,0,1,
0,Achche Din,Fanney Khan,Amit Trivedi,245000,0,5,
0,Achilles Last Stand,Mothership (Remastered),Led Zeppelin,630000,0,0,
0,Across The Universe (Remastered),Let It Be (Remastered),The Beatles,228000,0,0,
0,Act Naturally (Remastered),Help! (Remastered),The Beatles,150000,0,1,
0,Adhura Main,Mukkabaaz,Deepak Thakur,177005,0,2,
0,Ae Ajnabi,Dil Se,A. R. Rahman,349000,0,2,
0,Ae Bhai Zara Dekh Ke Chalo,Mera Naam Joker (Original Motion Picture Soundtrack),Manna Dey,362000,1,1,
0,Ae Dil Hai Mushkil Title Track,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Arijit Singh,269000,5,25,
0,Ae Watan (Female) (Raazi),Raazi,Sunidhi Chauhan,211000,0,2,
0,Ae Watan (Male) (Raazi),Raazi,Arijit Singh,223000,5,21,
0,"Ae Zindagi Gale Laga Le (Take, 1)",Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi,171000,5,16,
0,"Ae Zindagi Gale Laga Le (Take, 2)",Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi,185000,0,4,
0,Aey Jawanon,Gangs Of Wasseypur,Baal Party,114000,0,3,
0,Afghan Jalebi (Dumbek Version),Phantom,Akhtar Channal,230000,0,0,
0,Afghan Jalebi (Film Version),Phantom,Akhtar Channal,224000,0,0,
0,Afghan Jalebi (Ya Baba),Phantom,Asrar,230000,0,0,
0,Agar Main Kahoon,Lakshya (Original Motion Picture Soundtrack),Shankar Ehsaan Loy,292000,5,15,
0,Agar Tum Galat Raaste Par Chaloge (Dialogues),Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack),Shah Rukh Khan,28000,1,0,
0,Agar Tum Saath Ho,Tamasha,Arijit Singh,341000,5,16,
0,Agar Yeh Tujhe Pyar Karti (Dialogues),Dilwale Dulhania Le Jayenge (Original Motion Picture Soundtrack),Shah Rukh Khan,27000,1,0,
0,Agent Vinod (Theme),Agent Vinod,Pritam,277000,1,0,
